VaR Terminology,S&P BSE 500,NIFTY,Relative (Nifty/ S&P),Remarks
VaR with Expanding Window RiskMetrics,0.02745090491368192,0.029311983212914595,1.0677966101694916,NIFTY is riskier
VaR with Rolling Window RiskMetrics(window ~ 5 years) ,0.026753000551469668,0.028381444063298258,1.0608695652173914,NIFTY is riskier
