VaR Terminology,S&P BSE 500,NIFTY,Relative (Nifty/ S&P),Remarks
VaR with Expanding Window GARCH,0.024891922252236996,0.02698563533887375,1.0841121495327102,NIFTY is riskier
VaR with Rolling Window GARCH (window ~ 5 years) ,0.023030843953004327,0.02512455703964108,1.0909090909090908,NIFTY is riskier
